DateTime,CO(GT)_mean
2004-03-18,2.6145833333333335
2004-03-19,2.8666666666666667
2004-03-20,2.06875
2004-03-21,1.9645833333333333
2004-03-22,2.064583333333333
2004-03-23,1.9375
2004-03-24,2.0520833333333335
2004-03-25,1.9041666666666668
2004-03-26,1.8791666666666667
2004-03-27,1.8062500000000001
2004-03-28,1.5625
2004-03-29,1.4666666666666668
2004-03-30,2.1395833333333334
2004-03-31,1.925
2004-04-01,2.5500000000000003
2004-04-02,2.716666666666667
2004-04-03,2.4583333333333335
2004-04-04,3.1
2004-04-05,2.9
2004-04-06,2.2333333333333334
2004-04-07,1.6375
2004-04-08,2.504166666666667
2004-04-09,2.4541666666666666
2004-04-10,1.7541666666666667
2004-04-11,1.1895833333333334
2004-04-12,0.8624999999999999
2004-04-13,2.0541666666666667
2004-04-14,2.2425595238095237
2004-04-15,3.8434523809523813
2004-04-16,3.3041666666666667
2004-04-17,1.900765306122449
2004-04-18,1.846938775510204
2004-04-19,1.8469387755102042
2004-04-24,2.0416666666666665
2004-04-25,1.2249999999999999
2004-04-26,1.4479166666666667
2004-04-29,3.0250000000000004
2004-04-30,2.8833333333333333
2004-05-01,2.0104166666666665
2004-05-02,1.5875000000000001
2004-05-03,2.1020833333333333
2004-05-04,2.2291666666666665
2004-05-05,2.1145833333333335
2004-05-06,1.9333333333333333
2004-05-07,2.127083333333333
2004-05-08,0.9404545454545455
2004-05-09,0.9254545454545456
2004-05-10,2.7453030303030306
2004-05-11,2.6958333333333333
2004-05-12,2.5500000000000003
2004-05-13,2.3208333333333333
2004-05-14,2.4166666666666665
2004-05-15,1.7416666666666665
2004-05-16,1.3666666666666665
2004-05-17,1.6312499999999999
2004-05-18,2.2062500000000003
2004-05-19,2.279166666666667
2004-05-20,2.3375
2004-05-21,2.183333333333333
2004-05-22,1.95
2004-05-23,1.2916666666666667
2004-05-24,1.05
2004-05-25,1.8764254385964911
2004-05-26,2.3407148189622995
2004-05-27,1.3510638297872342
2004-05-28,1.5575354609929077
2004-05-29,0.7916666666666666
2004-05-30,0.6375000000000001
2004-05-31,1.3333333333333333
2004-06-01,1.7833333333333332
2004-06-02,0.9521484375
2004-06-03,0.978125
2004-06-04,2.1582589285714286
2004-06-05,1.45
