DateTime,CO(GT),PT08.S1(CO),T,RH,AH,Residual_Anomaly,IsolationForest_Anomaly,LOF_Anomaly,Hour,DayOfWeek,Month,IsWeekend,Season,Enhanced_Consensus_Anomaly,Pollution_Spike
2004-03-11 18:00:00,1.8070070604741988,2.1622974339525096,-1.316285519497152,0.9349907929115844,-0.8878836757499191,False,False,False,18,3,3,False,2,False,False
2004-03-11 19:00:00,3.2332938681495835,3.039501887530037,-1.391108742542969,1.2306684763750202,-0.8194015828403132,False,True,False,19,3,3,False,2,False,True
2004-03-11 20:00:00,2.6899465128446747,2.427708012214428,-1.4035792797172717,1.1437044518269506,-0.8695498870969537,False,True,False,20,3,3,False,2,False,True
2004-03-11 21:00:00,1.1957412857561769,0.956703620830575,-1.4659319655887857,0.923395589638508,-1.0620546679530904,False,False,False,21,3,3,False,2,False,False
2004-03-11 22:00:00,-0.4343007801585483,-0.6087689424770119,-1.5781668001575109,0.8886099798192802,-1.2006365410063875,False,False,False,22,3,3,False,2,False,False
2004-03-11 23:00:00,-0.7738928772241161,-0.8426901300976858,-1.5781668001575109,0.7378723372692931,-1.2675009466819085,False,False,False,23,3,3,False,2,False,False
2004-03-12 00:00:00,-0.2984639413323213,-0.0914432390851369,-1.5656962629832076,0.60452749962892,-1.3265465307260174,False,False,False,0,4,3,False,2,False,False
2004-03-12 01:00:00,-0.1626271025060942,-0.2533886766686803,-1.6405194860290244,0.6740987192673759,-1.361596420797863,False,False,False,1,4,3,False,2,False,False
2004-03-12 02:00:00,-0.502219199571662,-0.5053038017986369,-1.7153427090748412,0.7958483536346728,-1.3702240860463173,False,False,False,2,4,3,False,2,False,False
2004-03-12 03:00:00,-0.9097297160503433,-0.9506537551533816,-1.727813246249144,0.8248363618173625,-1.3742683041315304,False,False,False,3,4,3,False,2,False,False
2004-03-12 04:00:00,-0.9776481354634567,-1.2115658490379793,-1.8400480808178692,1.0335500207327295,-1.377773293138715,False,False,False,4,4,3,False,2,False,False
2004-03-12 05:00:00,-1.0455665548765702,-1.1395900990008487,-1.8151070064692632,0.9813716060038878,-1.381817511223928,False,False,False,5,4,3,False,2,False,False
2004-03-12 06:00:00,-0.9097297160503433,-0.7797113488151967,-1.7527543205977494,0.8596219716365905,-1.381547896684914,False,False,False,6,4,3,False,2,False,False
2004-03-12 07:00:00,-0.502219199571662,-0.0419599109346097,-1.8026364692949608,0.9871692076404256,-1.3594395044857497,False,False,False,7,4,3,False,2,False,False
2004-03-12 08:00:00,1.535333382821745,2.1892883402164336,-1.6904016347262356,0.8712171749096665,-1.3101000438461514,False,True,False,8,4,3,False,2,False,False
2004-03-12 09:00:00,1.0938636566365063,2.000351996368966,-1.453461428414483,0.471182661988547,-1.2933839424272713,False,False,False,9,4,3,False,2,False,False
2004-03-12 10:00:00,0.6523939304512686,1.123147542791439,-0.9546399414423712,-0.3694695753094579,-1.358361046329693,False,False,False,10,4,3,False,2,False,False
2004-03-12 11:00:00,0.3807202527988144,0.7317794019645424,-0.8174640325250403,-0.560790429315211,-1.379121365833786,False,False,False,11,4,3,False,2,False,False
2004-03-12 12:00:00,-0.0267902636798669,0.4753657924572652,-0.7301702723049208,-0.6709448604094322,-1.3920628637064674,False,False,False,12,4,3,False,2,False,False
2004-03-12 13:00:00,0.2448834139725871,0.6822960738140152,-0.59299436338759,-0.7868968931401915,-1.3739986895925165,False,False,False,13,4,3,False,2,False,False
2004-03-12 14:00:00,0.3807202527988144,0.8397430270202381,-0.5680532890389846,-0.7173256735017358,-1.2936535569662857,False,False,False,14,4,3,False,2,False,False
2004-03-12 15:00:00,0.5165570916250414,1.136642995923401,-0.6304059749104984,-0.6419568522267424,-1.2801728300155757,False,False,False,15,4,3,False,2,False,False
2004-03-12 16:00:00,0.4486386722119277,0.9387096833212925,-0.6179354377361957,-0.6303616489536663,-1.2675009466819085,False,False,False,16,4,3,False,2,False,False
2004-03-12 17:00:00,0.1769649945594735,0.7812627301150695,-0.493230065993168,-0.7984920964132677,-1.2966193168954416,False,False,False,17,4,3,False,2,False,False
2004-03-12 18:00:00,1.1957412857561769,1.8429050431627432,-0.7176997351306181,-0.4912192096767552,-1.238112961929361,False,False,False,18,4,3,False,2,False,False
2004-03-12 19:00:00,1.05990444692995,1.910382308822553,-0.8049934953507375,-0.2709103474883127,-1.1523755385228462,False,False,False,19,4,3,False,2,False,False
2004-03-12 20:00:00,3.029538609910243,3.3409003408105207,-0.9920515529652794,0.1407193687058828,-1.046147410151253,False,True,False,20,4,3,False,2,False,True
2004-03-12 21:00:00,1.535333382821745,2.2387716683669607,-1.0918158503597015,0.3030522145289457,-1.030509766888429,False,False,False,21,4,3,False,2,False,False
2004-03-12 22:00:00,0.9240676081037228,1.7259444493524063,-1.2289917592770323,0.6393131094481479,-0.9755084009295332,False,False,False,22,4,3,False,2,False,False
2004-03-12 23:00:00,2.2145175769528804,2.5941519341752923,-1.391108742542969,0.9581811994577356,-0.967150350220093,False,True,False,23,4,3,False,2,False,True
2004-03-13 00:00:00,0.3807202527988144,0.8082536363789935,-1.4160498168915745,0.9291931912750456,-1.0140632800085632,False,False,False,0,5,3,True,2,False,False
2004-03-13 01:00:00,-0.1626271025060942,0.4303809486840587,-1.4659319655887857,0.91759798800197,-1.0609762097970337,False,False,False,1,5,3,True,2,False,False
2004-03-13 02:00:00,-0.3663823607454347,0.3763991361562109,-1.5033435771116936,0.91759798800197,-1.1060018378124044,False,False,False,2,5,3,True,2,False,False
2004-03-13 03:00:00,-0.2984639413323213,0.322417323628363,-1.6280489488547216,1.1263116469173369,-1.1283798445505826,False,False,False,3,5,3,True,2,False,False
2004-03-13 04:00:00,-0.5361784092782186,0.2099552141953467,-1.727813246249144,1.3350253058327033,-1.1324240626357958,False,False,False,4,5,3,True,2,False,False
2004-03-13 05:00:00,-0.7738928772241161,-0.5502886455718434,-1.5656962629832076,0.9002051830923564,-1.1798762215022942,False,False,False,5,5,3,True,2,False,False
2004-03-13 06:00:00,-0.638056038397889,-0.0014735515387238,-1.7028721719005384,1.1263116469173369,-1.2054896027086432,False,False,False,6,5,3,True,2,False,False
2004-03-13 07:00:00,-0.4343007801585483,0.0525082609891239,-1.8151070064692632,1.3814061189250078,-1.1933569484530042,False,False,False,7,5,3,True,2,False,False
2004-03-13 08:00:00,0.3807202527988144,1.06016876150895,-1.790165932120658,1.3640133140153932,-1.1898519594458197,False,False,False,8,5,3,True,2,False,False
2004-03-13 09:00:00,1.05990444692995,1.384059636676037,-1.4035792797172717,0.6740987192673759,-1.1415909569622784,False,False,False,9,5,3,True,2,False,False
2004-03-13 10:00:00,0.7203123498643822,1.5595005273915423,-1.0544042388367934,0.1813025801616488,-1.084702289230283,False,False,False,10,5,3,True,2,False,False
