DateTime,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,CO(GT)_lag_1h,CO(GT)_lag_3h,CO(GT)_lag_6h,CO(GT)_lag_12h,C6H6(GT)_lag_1h,C6H6(GT)_lag_3h,C6H6(GT)_lag_6h,C6H6(GT)_lag_12h,NOx(GT)_lag_1h,NOx(GT)_lag_3h,NOx(GT)_lag_6h,NOx(GT)_lag_12h,NO2(GT)_lag_1h,NO2(GT)_lag_3h,NO2(GT)_lag_6h,NO2(GT)_lag_12h,CO(GT)_ma_4h,CO(GT)_ma_8h,CO(GT)_ma_12h,C6H6(GT)_ma_4h,C6H6(GT)_ma_8h,C6H6(GT)_ma_12h,NOx(GT)_ma_4h,NOx(GT)_ma_8h,NOx(GT)_ma_12h,NO2(GT)_ma_4h,NO2(GT)_ma_8h,NO2(GT)_ma_12h,CO(GT)_hourly_change,CO(GT)_hourly_pct_change,C6H6(GT)_hourly_change,C6H6(GT)_hourly_pct_change,NOx(GT)_hourly_change,NOx(GT)_hourly_pct_change,NO2(GT)_hourly_change,NO2(GT)_hourly_pct_change
2004-03-11 06:00:00,0.7,1052.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,6,3,3,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.7,0.6,1.2,2.6,1.1,1.7,3.6,11.9,16.0,33.0,62.0,166.0,28.0,47.0,77.0,113.0,0.6625,0.8687499999999999,1.2458333333333333,1.4249999999999998,2.45,4.4750000000000005,26.0,45.25,74.91666666666667,39.25,58.25,75.83333333333333,0.0,0.0,0.5,0.4545454545454546,18.0,1.125,20.0,0.7142857142857142
2004-03-11 07:00:00,1.1,1144.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,7,3,3,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.7,0.6499999999999999,1.0,2.0,1.6,1.3,3.3,9.4,34.0,21.0,62.0,103.0,48.0,34.0,76.0,92.0,0.7875,0.85625,1.1708333333333334,1.8000000000000003,2.2625,3.9583333333333326,42.25,46.375,74.5,48.0,56.5,75.0,0.40000000000000013,0.5714285714285716,1.6,1.0,64.0,1.8823529411764706,34.0,0.7083333333333333
2004-03-11 08:00:00,2.0,1333.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,8,3,3,0,0.8660254037844387,-0.49999999999999983,0.43388373911755823,-0.900968867902419,1.1,0.7,0.9,2.2,3.2,1.1,2.3,9.0,98.0,16.0,45.0,131.0,82.0,28.0,60.0,114.0,1.125,0.95625,1.1541666666666666,3.475,2.8125,3.875,80.5,60.375,78.08333333333333,67.5,60.875,74.83333333333333,0.8999999999999999,0.8181818181818181,4.8,1.5,76.0,0.7755102040816326,30.0,0.36585365853658547
2004-03-11 09:00:00,2.2,1351.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,9,3,3,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,2.0,0.7,0.6,2.2,8.0,1.6,1.7,9.2,174.0,34.0,33.0,172.0,112.0,48.0,47.0,122.0,1.5,1.1062500000000002,1.1541666666666668,5.575,3.5875,3.9,108.75,68.75,74.5,85.75,64.0,73.08333333333333,0.20000000000000018,0.10000000000000009,1.5,0.1875,-45.0,-0.2586206896551724,-11.0,-0.0982142857142857
2004-03-11 10:00:00,1.7,1233.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,10,3,3,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,2.2,1.1,0.6499999999999999,1.6,9.5,3.2,1.3,6.5,129.0,98.0,21.0,131.0,101.0,82.0,34.0,116.0,1.7500000000000002,1.20625,1.1624999999999999,6.75,4.0875,3.8833333333333333,128.25,77.125,72.91666666666667,98.25,68.75,71.58333333333333,-0.5000000000000002,-0.2272727272727274,-3.2,-0.33684210526315794,-17.0,-0.13178294573643412,-3.0,-0.02970297029702973
2004-03-11 11:00:00,1.5,1179.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,11,3,3,0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,1.7,2.0,0.7,1.2,6.3,8.0,1.1,4.7,112.0,174.0,16.0,89.0,98.0,112.0,28.0,96.0,1.85,1.31875,1.1875,7.2,4.5,3.908333333333333,127.5,84.875,73.41666666666667,100.75,74.375,71.25,-0.19999999999999996,-0.11764705882352944,-1.2999999999999998,-0.20634920634920628,-17.0,-0.1517857142857143,-6.0,-0.061224489795918324
2004-03-11 12:00:00,1.6,1236.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,12,3,3,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,1.5,2.2,0.7,1.2,5.0,9.5,1.6,3.6,95.0,129.0,34.0,62.0,92.0,101.0,48.0,77.0,1.75,1.4375,1.2208333333333334,6.5,4.987500000000001,4.041666666666667,110.0,95.25,76.91666666666667,96.5,82.0,72.75,0.10000000000000009,0.06666666666666665,0.20000000000000018,0.040000000000000036,9.0,0.09473684210526323,3.0,0.032608695652173836
2004-03-11 13:00:00,1.9,1286.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,13,3,3,0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,1.6,1.7,1.1,1.0,5.2,6.3,3.2,3.3,104.0,112.0,98.0,62.0,95.0,98.0,82.0,76.0,1.675,1.5875000000000001,1.2958333333333334,5.95,5.7625,4.375,114.25,111.5,83.91666666666667,99.25,92.5,75.75,0.2999999999999998,0.18749999999999978,2.0999999999999996,0.40384615384615374,42.0,0.40384615384615374,17.0,0.17894736842105252
2004-03-11 14:00:00,2.9,1371.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,14,3,3,0,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,1.9,1.5,2.0,0.9,7.3,5.0,8.0,2.3,146.0,95.0,174.0,45.0,112.0,92.0,112.0,60.0,1.9749999999999999,1.8624999999999998,1.4625000000000001,7.25,7.0,5.141666666666667,138.0,133.125,97.41666666666667,106.75,102.5,81.41666666666667,1.0,0.5263157894736843,4.2,0.5753424657534247,61.0,0.4178082191780821,16.0,0.1428571428571428
2004-03-11 15:00:00,2.2,1310.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,15,3,3,0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,2.9,1.6,2.2,0.6,11.5,5.2,9.5,1.7,207.0,104.0,129.0,33.0,128.0,95.0,101.0,47.0,2.15,2.0,1.5958333333333332,8.2,7.700000000000001,5.733333333333333,160.25,143.875,110.0,115.25,108.0,88.0,-0.6999999999999997,-0.2413793103448275,-2.6999999999999993,-0.23478260869565215,-23.0,-0.11111111111111116,-2.0,-0.015625
