DateTime,CO(GT)_mean,CO(GT)_max,CO(GT)_std,C6H6(GT)_mean,C6H6(GT)_max,C6H6(GT)_std,NOx(GT)_mean,NOx(GT)_max,NOx(GT)_std,NO2(GT)_mean,NO2(GT)_max,NO2(GT)_std,PT08.S1(CO)_mean,PT08.S1(CO)_max,PT08.S1(CO)_std,PT08.S2(NMHC)_mean,PT08.S2(NMHC)_max,PT08.S2(NMHC)_std,PT08.S3(NOx)_mean,PT08.S3(NOx)_max,PT08.S3(NOx)_std,PT08.S4(NO2)_mean,PT08.S4(NO2)_max,PT08.S4(NO2)_std,PT08.S5(O3)_mean,PT08.S5(O3)_max,PT08.S5(O3)_std,T_mean,T_max,T_std,RH_mean,RH_max,RH_std,AH_mean,AH_max,AH_std,day_of_week,month,is_weekend,CO(GT)_mean_lag_1d,CO(GT)_mean_lag_2d,CO(GT)_mean_lag_7d,C6H6(GT)_mean_lag_1d,C6H6(GT)_mean_lag_2d,C6H6(GT)_mean_lag_7d,NOx(GT)_mean_lag_1d,NOx(GT)_mean_lag_2d,NOx(GT)_mean_lag_7d,NO2(GT)_mean_lag_1d,NO2(GT)_mean_lag_2d,NO2(GT)_mean_lag_7d
2004-03-17,2.4761904761904763,6.6,1.6455712570122152,12.628571428571428,36.4,8.9195371436607,171.61904761904762,377.0,97.80464006910724,109.26190476190476,180.0,35.45265118704772,1295.3809523809523,1852.0,286.4766092005551,1023.6190476190476,1696.0,309.8806990101959,968.047619047619,1460.0,259.5895753281468,1665.6190476190477,2535.0,318.9046058291532,1309.857142857143,2050.0,398.03998363409244,18.152380952380952,29.3,6.221705477408831,43.2047619047619,65.2,16.03856216094436,0.8162238095238095,0.9294,0.09506781213829375,2,3,0,2.5760869565217392,3.0704545454545453,1.9666666666666668,13.004347826086958,14.313636363636364,8.450000000000001,170.04347826086956,196.22727272727272,132.0,113.08695652173913,111.88636363636364,108.83333333333333
2004-03-18,2.6145833333333335,6.6,1.6168594872311186,13.795833333333334,35.8,8.498668906858637,171.6875,421.0,100.53117756717802,123.375,176.0,33.518084022237,1352.6666666666667,1934.0,262.2606845615001,1072.5833333333333,1682.0,281.6926966790564,901.1666666666666,1293.0,198.63417689784416,1702.8333333333333,2468.0,290.8794261884299,1301.0,2051.0,302.36545696427925,17.7625,27.1,5.583579380258885,44.0875,64.2,15.54044687679331,0.8260166666666667,0.9606,0.06882849300453528,3,3,0,2.4761904761904763,2.5760869565217392,2.1729166666666666,12.628571428571428,13.004347826086958,7.979166666666667,171.61904761904762,170.04347826086956,139.75,109.26190476190476,113.08695652173913,97.66666666666667
2004-03-19,2.8666666666666667,6.2,1.5744334154578101,13.520833333333334,31.3,8.15986888037593,174.0,357.0,95.03271747826824,115.14583333333333,166.0,40.88517302382864,1304.2916666666667,1819.0,241.19908413674753,1058.0,1582.0,298.24136708960793,913.375,1620.0,289.5424895604609,1745.4166666666667,2456.0,310.05524285712113,1095.7916666666667,1716.0,402.84617618474005,14.191666666666668,16.4,1.6094602569931877,57.90416666666667,71.1,8.175386131908214,0.9239583333333333,1.0029,0.04059042419379095,4,3,0,2.6145833333333335,2.4761904761904763,2.75625,13.795833333333334,12.628571428571428,12.129166666666668,171.6875,171.61904761904762,171.6875,123.375,109.26190476190476,114.625
2004-03-20,2.06875,3.9,0.8238051294477038,8.754166666666666,16.6,4.220857028847461,128.91666666666666,229.0,54.94813100961011,96.08333333333333,139.0,22.608033713832725,1288.625,1633.0,217.37281388754965,911.9583333333334,1199.0,174.31318121395046,968.4583333333334,1317.0,192.8092048963265,1609.0833333333333,1919.0,182.9665963019448,1019.0,1442.0,317.38291233694076,15.862499999999999,19.5,2.1147129520493366,52.18333333333334,59.0,5.336068139408061,0.9289958333333334,1.0356,0.05297297489135933,5,3,1,2.8666666666666667,2.6145833333333335,2.6395833333333334,13.520833333333334,13.795833333333334,10.916666666666666,174.0,171.6875,180.75,115.14583333333333,123.375,117.35416666666667
2004-03-21,1.9645833333333333,4.3,0.901023472003615,7.595833333333334,15.1,3.2694207925625878,115.58333333333333,266.0,53.05937336088013,89.02083333333333,144.0,24.182494192335056,1252.7083333333333,1605.0,154.38728241346334,870.625,1153.0,135.4007939415423,975.6666666666666,1300.0,124.78561325474317,1601.7916666666667,1874.0,112.8284496834509,954.25,1637.0,245.4453361615948,17.2125,21.4,2.301098508935697,52.45416666666667,66.2,8.885502563001232,1.0063208333333333,1.0868,0.05083210196893017,6,3,1,2.06875,2.8666666666666667,2.1863636363636365,8.754166666666666,13.520833333333334,8.527272727272727,128.91666666666666,174.0,131.13636363636363,96.08333333333333,115.14583333333333,104.63636363636364
2004-03-22,2.064583333333333,4.5,1.2663263511181595,9.4125,21.0,6.4906831220838646,120.16666666666667,238.0,70.67049483751838,88.0,146.0,35.279012112758686,1129.3333333333333,1514.0,192.34540187690584,911.5416666666666,1325.0,270.3387535420452,1062.25,1813.0,342.8868808273047,1595.3333333333333,1996.0,229.07102879212832,857.875,1401.0,313.8888355564061,17.358333333333334,21.3,2.41911170665502,44.833333333333336,60.5,12.057495113239607,0.8579333333333333,1.0919,0.14918663440153737,0,3,0,1.9645833333333333,2.06875,3.0704545454545453,7.595833333333334,8.754166666666666,14.313636363636364,115.58333333333333,128.91666666666666,196.22727272727272,89.02083333333333,96.08333333333333,111.88636363636364
2004-03-23,1.9375,3.8,1.1393409612960277,8.9625,21.0,6.023058048937397,122.60416666666667,244.0,74.49262863541931,95.0625,132.0,33.720176033632,1122.1666666666667,1498.0,185.14827587091114,896.625,1325.0,259.54053256375636,1073.5416666666667,1908.0,325.408770246936,1557.0,2095.0,236.58880123447358,892.7083333333334,1329.0,300.8780598250028,12.133333333333333,16.0,1.751438332309778,60.46666666666667,80.5,10.298529513718334,0.8424999999999999,0.9483,0.05749982230596362,1,3,0,2.064583333333333,1.9645833333333333,2.5760869565217392,9.4125,7.595833333333334,13.004347826086958,120.16666666666667,115.58333333333333,170.04347826086956,88.0,89.02083333333333,113.08695652173913
2004-03-24,2.0520833333333335,4.5,1.1650227807687474,8.625,23.7,5.9422035145807355,125.4375,247.0,66.11638494878294,95.14583333333333,136.0,25.096976765212645,1149.0416666666667,1597.0,198.23404682052117,888.875,1395.0,239.40148423135122,1040.75,1572.0,272.28633426245784,1541.625,2080.0,230.61238182754613,909.9583333333334,1519.0,241.41115553033745,11.674999999999999,16.9,2.0874886097059724,59.0875,81.1,10.849656876962795,0.7967083333333332,0.972,0.075341598398729,2,3,0,1.9375,2.064583333333333,2.4761904761904763,8.9625,9.4125,12.628571428571428,122.60416666666667,120.16666666666667,171.61904761904762,95.0625,88.0,109.26190476190476
2004-03-25,1.9041666666666668,5.2,1.2231389293860735,8.095833333333333,24.6,6.395071415222593,111.95833333333333,253.0,65.0775317980602,87.29166666666667,141.0,31.220783443734714,1084.9583333333333,1443.0,164.4105357796827,859.7083333333334,1418.0,260.46054181119206,1124.2083333333333,1935.0,330.4614664330797,1494.6666666666667,2060.0,246.9049573641941,800.4583333333334,1488.0,314.60810392927107,11.633333333333333,17.7,2.9058661309520937,58.79583333333333,83.2,13.570924135225944,0.7820791666666667,0.8695,0.054787351596217296,3,3,0,2.0520833333333335,1.9375,2.6145833333333335,8.625,8.9625,13.795833333333334,125.4375,122.60416666666667,171.6875,95.14583333333333,95.0625,123.375
2004-03-26,1.8791666666666667,3.8,0.8722679916604542,8.424999999999999,19.3,4.862210089714526,118.375,275.0,58.402510741145065,91.54166666666667,121.0,15.725855659768854,1084.7083333333333,1408.0,138.4399035107218,892.5,1278.0,198.4897325129022,1032.2083333333333,1449.0,195.97293051019477,1457.625,1928.0,190.77184472329878,888.5,1481.0,253.43741187743066,11.666666666666666,19.2,3.5026284126497695,51.291666666666664,72.4,14.01067657078039,0.6764916666666667,0.7711,0.07032725315432059,4,3,0,1.9041666666666668,2.0520833333333335,2.8666666666666667,8.095833333333333,8.625,13.520833333333334,111.95833333333333,125.4375,174.0,87.29166666666667,95.14583333333333,115.14583333333333
